경찰청,경찰서,시간대,건수
서울특별시경찰청,서울중부경찰서,0,26
서울특별시경찰청,서울남대문경찰서,0,10
서울특별시경찰청,서울종로경찰서,0,20
서울특별시경찰청,서울혜화경찰서,0,19
서울특별시경찰청,서울서대문경찰서,0,38
서울특별시경찰청,서울서부경찰서,0,20
서울특별시경찰청,서울용산경찰서,0,61
서울특별시경찰청,서울성북경찰서,0,27
서울특별시경찰청,서울강북경찰서,0,49
서울특별시경찰청,서울동대문경찰서,0,63
서울특별시경찰청,서울광진경찰서,0,86
서울특별시경찰청,서울마포경찰서,0,103
서울특별시경찰청,서울영등포경찰서,0,110
서울특별시경찰청,서울금천경찰서,0,47
서울특별시경찰청,서울성동경찰서,0,45
서울특별시경찰청,서울동작경찰서,0,56
서울특별시경찰청,서울중랑경찰서,0,40
서울특별시경찰청,서울관악경찰서,0,71
서울특별시경찰청,서울강남경찰서,0,125
서울특별시경찰청,서울강서경찰서,0,65
서울특별시경찰청,서울강동경찰서,0,56
서울특별시경찰청,서울송파경찰서,0,135
서울특별시경찰청,서울종암경찰서,0,21
서울특별시경찰청,서울구로경찰서,0,40
서울특별시경찰청,서울서초경찰서,0,61
서울특별시경찰청,서울양천경찰서,0,40
서울특별시경찰청,서울노원경찰서,0,62
서울특별시경찰청,서울도봉경찰서,0,35
서울특별시경찰청,서울은평경찰서,0,29
서울특별시경찰청,서울방배경찰서,0,25
서울특별시경찰청,서울수서경찰서,0,45
부산광역시경찰청,부산중부경찰서,0,8
부산광역시경찰청,부산동부경찰서,0,11
부산광역시경찰청,부산서부경찰서,0,11
부산광역시경찰청,부산남부경찰서,0,53
부산광역시경찰청,부산북부경찰서,0,26
부산광역시경찰청,부산동래경찰서,0,25
부산광역시경찰청,부산영도경찰서,0,10
부산광역시경찰청,부산해운대경찰서,0,56
부산광역시경찰청,부산진경찰서,0,45
부산광역시경찰청,부산금정경찰서,0,42
부산광역시경찰청,부산사하경찰서,0,39
부산광역시경찰청,부산연제경찰서,0,36
부산광역시경찰청,부산강서경찰서,0,34
부산광역시경찰청,부산사상경찰서,0,31
부산광역시경찰청,부산기장경찰서,0,30
경기도남부경찰청,수원중부경찰서,0,155
경기도남부경찰청,성남수정경찰서,0,26
경기도남부경찰청,평택경찰서,0,292
경기도남부경찰청,안성경찰서,0,48
경기도남부경찰청,안양동안경찰서,0,93
경기도남부경찰청,이천경찰서,0,59
경기도남부경찰청,광주경찰서,0,111
경기도남부경찰청,여주경찰서,0,56
경기도남부경찰청,용인동부경찰서,0,215
경기도남부경찰청,김포경찰서,0,189
경기도남부경찰청,양평경찰서,0,30
경기도남부경찰청,부천소사경찰서,0,30
경기도남부경찰청,오산경찰서,0,84
경기도남부경찰청,부천원미경찰서,0,393
경기도남부경찰청,광명경찰서,0,48
경기도남부경찰청,안산단원경찰서,0,107
경기도남부경찰청,과천경찰서,0,13
경기도남부경찰청,수원남부경찰서,0,292
경기도남부경찰청,군포경찰서,0,24
경기도남부경찰청,성남중원경찰서,0,41
경기도남부경찰청,분당경찰서,0,96
경기도남부경찰청,시흥경찰서,0,340
경기도남부경찰청,안산상록경찰서,0,80
경기도남부경찰청,수원서부경찰서,0,80
경기도남부경찰청,화성서부경찰서,0,104
경기도남부경찰청,의왕경찰서,0,36
경기도남부경찰청,하남경찰서,0,42
경기도남부경찰청,안양만안경찰서,0,37
경기도남부경찰청,부천오정경찰서,0,23
경기도남부경찰청,용인서부경찰서,0,139
경기도남부경찰청,화성동탄경찰서,0,131
강원특별자치도경찰청,춘천경찰서,0,66
강원특별자치도경찰청,강릉경찰서,0,46
강원특별자치도경찰청,원주경찰서,0,107
강원특별자치도경찰청,속초경찰서,0,32
강원특별자치도경찰청,삼척경찰서,0,10
강원특별자치도경찰청,영월경찰서,0,5
강원특별자치도경찰청,홍천경찰서,0,32
강원특별자치도경찰청,평창경찰서,0,8
강원특별자치도경찰청,화천경찰서,0,3
강원특별자치도경찰청,태백경찰서,0,6
강원특별자치도경찰청,정선경찰서,0,7
강원특별자치도경찰청,횡성경찰서,0,9
강원특별자치도경찰청,인제경찰서,0,10
강원특별자치도경찰청,강원고성경찰서,0,7
강원특별자치도경찰청,철원경찰서,0,5
강원특별자치도경찰청,양구경찰서,0,8
강원특별자치도경찰청,동해경찰서,0,20
충청북도경찰청,청주청원경찰서,0,92
충청북도경찰청,충주경찰서,0,58
충청북도경찰청,제천경찰서,0,38
충청북도경찰청,영동경찰서,0,3
충청북도경찰청,괴산경찰서,0,12
충청북도경찰청,보은경찰서,0,5
충청북도경찰청,음성경찰서,0,44
