개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3200000,3200000-103-2023-00001,2023-03-02,,1,영업/정상,1,영업,,,,,,141.35,151-876,서울특별시 관악구 신림동 530-31 상진,"서울특별시 관악구 난곡로 323, 상진 2층 (신림동)",8767,판도라,2023-02-28 13:25,I,03:00.0,단란주점,192332.4632,442308.0457,,,,,,,,,,,,,,,,,,,
3110000,3110000-103-1996-04503,1996-04-15,,1,영업/정상,1,영업,,,,,02 3576027,98.52,122-807,서울특별시 은평구 구산동 321-98 지하1층,"서울특별시 은평구 서오릉로 227 (구산동, 지하1층)",3425,왓따7080,2023-02-28 11:55,U,03:00.0,단란주점,191862.8718,456988.1927,,,,,,,,,,,,,,,,,,,
3160000,3160000-103-1995-06145,1995-10-23,,1,영업/정상,1,영업,,,,,02 8661379,78.37,152-847,서울특별시 구로구 구로동 153-3,서울특별시 구로구 도림로 104 (구로동),8369,서담주점,2024-02-21 17:28,U,03:00.0,단란주점,190601.6618,443226.9943,,,,,,,,,,,,,,,,,,,
3060000,3060000-103-1995-06838,1995-08-16,,1,영업/정상,1,영업,,,,,02 9747172,139.38,131-853,서울특별시 중랑구 묵동 245-1,서울특별시 중랑구 동일로 869 (묵동),2010,유토피아,2023-10-10 17:05,U,02:00.0,단란주점,206813.0572,456188.1411,,,,,,,,,,,,,,,,,,,
3120000,3120000-103-2003-00001,2003-10-01,,1,영업/정상,1,영업,,,,,203950034,70.7,120-859,서울특별시 서대문구 홍제동 173-2,서울특별시 서대문구 통일로37길 4 (홍제동),3639,테크노,2023-03-03 14:18,U,05:00.0,단란주점,195024.3561,453992.7438,,,,,,,,,,,,,,,,,,,
3020000,3020000-103-2002-00003,1997-10-14,,1,영업/정상,1,영업,,,,,,41.63,140-823,서울특별시 용산구 보광동 260-16 (지층),"서울특별시 용산구 보광로 37-1 (보광동,(지층))",4394,타임,2023-05-15 9:58,U,07:00.0,단란주점,199879.7039,447259.9455,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1996-03135,1996-11-30,,1,영업/정상,1,영업,,,,,02 5431685,97.99,135-821,서울특별시 강남구 논현동 112-3,서울특별시 강남구 선릉로131길 24 (논현동),6059,보라카이(Boracay),2024-01-31 16:37,U,02:00.0,단란주점,203376.1708,446136.0977,,,,,,,,,,,,,,,,,,,
3080000,3080000-103-1996-02142,1996-02-07,,1,영업/정상,1,영업,,,,,02 9248097,59.92,142-867,서울특별시 강북구 번동 448-6,서울특별시 강북구 덕릉로 93-10 (번동),1069,조율,2023-03-06 13:02,U,08:00.0,단란주점,202085.6217,459202.7444,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-2023-00001,2023-11-08,,1,영업/정상,1,영업,,,,,,122,135-915,서울특별시 강남구 역삼동 678-2,"서울특별시 강남구 논현로94길 24, 지하1층 (역삼동)",6141,엠지(MZ)노래밤,2023-11-22 16:19,U,04:00.0,단란주점,203321.9401,444500.1055,,,,,,,,,,,,,,,,,,,
3110000,3110000-103-1994-04402,1994-08-13,,1,영업/정상,1,영업,,,,,02 3873272,101.15,122-808,서울특별시 은평구 갈현동 392-3 (지하1층),"서울특별시 은평구 통일로 907, 지하1층 (갈현동)",3328,뮤직아지트 음악창고,2023-03-06 14:16,U,08:00.0,단란주점,192834.8068,457960.2149,,,,,,,,,,,,,,,,,,,
3230000,3230000-103-1993-03546,1993-10-29,,1,영업/정상,1,영업,,,,,02 4496752,106.38,138-800,서울특별시 송파구 가락동 17-4,서울특별시 송파구 오금로36길 29 (가락동),5703,붐라이브,2023-04-17 15:10,U,09:00.0,단란주점,210910.4721,444329.5413,,,,,,,,,,,,,,,,,,,
3080000,3080000-103-1998-02001,1998-02-16,,1,영업/정상,1,영업,,,,,,98.8,142-872,서울특별시 강북구 수유동 2-40,서울특별시 강북구 노해로 19-1 (수유동),1080,와와노래타운,2023-03-08 13:37,U,00:00.0,단란주점,201929.8702,459445.0814,,,,,,,,,,,,,,,,,,,
3170000,3170000-103-1996-00813,1996-02-23,,1,영업/정상,1,영업,,,,,02 8061468,65.52,153-841,서울특별시 금천구 시흥동 837-37 지하1층,"서울특별시 금천구 독산로 58, 지하1층 (시흥동)",8573,금빛,2023-03-09 11:07,U,01:00.0,단란주점,191634.03,438938.6048,,,,,,,,,,,,,,,,,,,
3200000,3200000-103-2008-00007,2008-07-10,,1,영업/정상,1,영업,,,,,02 5867069,97.63,151-800,서울특별시 관악구 남현동 1061-3 외1필지 가호,"서울특별시 관악구 남현1길 68-6 (남현동,외1필지 가호)",8807,호박,2023-03-10 17:45,U,02:00.0,단란주점,198258.8133,441491.3043,,,,,,,,,,,,,,,,,,,
3150000,3150000-103-2003-00015,2003-11-21,,1,영업/정상,1,영업,,,,,226925655,137.94,157-909,서울특별시 강서구 화곡동 905-9 (지상 3 층),"서울특별시 강서구 강서로5나길 32, 3층 (화곡동, 1동)",7777,궁전노래바,2023-03-10 15:24,U,02:00.0,단란주점,186355.0842,447404.1898,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1993-04108,19931112,,3,폐업,2,폐업,20211104,,,,02 5486626,138.29,135818,서울특별시 강남구 논현동 87-4 ,서울특별시 강남구 학동로29길 5 (논현동),6052,더?,2021-11-04 12:43,U,40:00.0,단란주점,202689.0976,445827.3866,단란주점,0,0,기타,기타,상수도전용,0,0,0,0,0,,0,0,N,138.29,,,
3080000,3080000-103-1996-02090,1996-04-24,,3,폐업,2,폐업,2023-03-13,,,,02 9080502,60.5,142-865,서울특별시 강북구 번동 430-68,서울특별시 강북구 한천로 940 (번동),1136,뉴스타가요주점,2023-03-13 12:05,U,05:00.0,단란주점,203073.2869,459165.966,,,,,,,,,,,,,,,,,,,
3090000,3090000-103-1997-01124,1997-03-11,,1,영업/정상,1,영업,,,,,234913667,114.34,132-850,서울특별시 도봉구 방학동 680-37,서울특별시 도봉구 도봉로 663-28 (방학동),1346,콘서트7080,2024-04-11 14:59,U,03:00.0,단란주점,203608.6701,462336.0973,,,,,,,,,,,,,,,,,,,
