행정동명,인구수
성북구 성북동,15922
성북구 삼선동,22117
성북구 동선동,14965
성북구 돈암1동,14234
성북구 돈암2동,23417
성북구 안암동,14796
성북구 보문동,16165
성북구 정릉1동,17751
성북구 정릉2동,22541
성북구 정릉3동,14887
성북구 정릉4동,23988
성북구 길음1동,34747
성북구 길음2동,21608
성북구 종암동,37609
성북구 월곡1동,25543
성북구 월곡2동,18901
성북구 장위1동,23336
성북구 장위2동,13094
성북구 장위3동,15527
성북구 석관동,33768
송파구 가락1동,27437
송파구 가락2동,31198
송파구 문정1동,19490
송파구 문정2동,28811
송파구 장지동,28456
송파구 위례동,44970
송파구 잠실본동,27797
송파구 잠실2동,34860
송파구 잠실3동,33827
송파구 잠실6동,16491
송파구 풍납1동,11772
송파구 풍납2동,23638
송파구 거여1동,11982
송파구 거여2동,23533
송파구 마천1동,17963
송파구 마천2동,17536
송파구 방이1동,15119
송파구 방이2동,26290
송파구 오금동,37415
송파구 송파1동,23356
송파구 송파2동,18621
송파구 석촌동,30801
송파구 삼전동,29086
송파구 가락본동,25172
양천구 목1동,30222
양천구 목2동,28875
양천구 목3동,21194
양천구 목4동,24433
양천구 목5동,40651
양천구 신월1동,19392
양천구 신월2동,20775
양천구 신월3동,14231
양천구 신월4동,17450
양천구 신월5동,13960
양천구 신월6동,13877
양천구 신월7동,18620
양천구 신정1동,19701
양천구 신정2동,18763
양천구 신정3동,49448
양천구 신정4동,31776
양천구 신정7동,28298
영등포구 영등포본동,20767
영등포구 영등포동,30649
영등포구 여의동,33412
영등포구 당산1동,21044
영등포구 당산2동,36720
영등포구 도림동,17597
영등포구 문래동,32142
영등포구 양평1동,18205
영등포구 양평2동,22632
영등포구 신길1동,19306
영등포구 신길3동,15991
영등포구 신길4동,12152
영등포구 신길5동,9894
영등포구 신길6동,17689
영등포구 신길7동,19778
영등포구 대림1동,13755
영등포구 대림2동,11711
영등포구 대림3동,21541
용산구 후암동,15992
용산구 용산2가동,8902
용산구 남영동,6828
용산구 청파동,18825
용산구 원효로1동,17032
용산구 원효로2동,13646
용산구 효창동,10625
용산구 용문동,11385
용산구 한강로동,20976
용산구 이촌1동,24949
용산구 이촌2동,7861
용산구 이태원1동,6011
용산구 이태원2동,8685
용산구 한남동,17269
용산구 서빙고동,12474
용산구 보광동,10715
은평구 녹번동,36032
은평구 불광1동,37417
은평구 불광2동,26733
은평구 갈현1동,14462
은평구 갈현2동,27433
은평구 구산동,31411
은평구 대조동,27360
은평구 응암1동,32713
은평구 응암2동,27335
은평구 응암3동,23428
은평구 역촌동,43730
은평구 신사1동,26434
은평구 신사2동,18888
은평구 증산동,18240
은평구 수색동,20585
은평구 진관동,54273
종로구 청운효자동,11323
종로구 사직동,8992
종로구 삼청동,2550
종로구 부암동,9050
종로구 평창동,17373
종로구 무악동,7988
종로구 교남동,9689
종로구 가회동,3872
종로구 종로1.2.3.4가동,6685
종로구 종로5.6가동,5365
종로구 이화동,6904
종로구 혜화동,15866
종로구 창신1동,4499
종로구 창신2동,7488
종로구 창신3동,6330
종로구 숭인1동,5793
종로구 숭인2동,9911
중구 소공동,2188
중구 회현동,4390
중구 명동,2596
중구 필동,4004
중구 장충동,4535
중구 광희동,5806
중구 을지로동,3059
중구 신당동,7415
중구 다산동,13278
중구 약수동,16098
중구 청구동,12964
중구 신당5동,10140
중구 동화동,9938
중구 황학동,12721
중구 중림동,12190
중랑구 상봉1동,23136
중랑구 상봉2동,20347
중랑구 중화1동,18697
중랑구 중화2동,23806
중랑구 묵1동,33644
중랑구 묵2동,18078
중랑구 망우본동,36981
중랑구 망우3동,15630
중랑구 신내1동,37695
중랑구 신내2동,19632
중랑구 면목2동,23541
중랑구 면목4동,18147
중랑구 면목5동,14563
중랑구 면목본동,32789
중랑구 면목7동,21222
중랑구 면목3.8동,24376
강남구 신사동,15420
강남구 논현1동,21013
강남구 논현2동,20332
강남구 압구정동,25600
강남구 청담동,24659
강남구 삼성1동,12122
강남구 삼성2동,30535
강남구 대치1동,23824
강남구 대치2동,38195
강남구 대치4동,18529
강남구 역삼1동,34101
강남구 역삼2동,36396
강남구 도곡1동,20529
강남구 도곡2동,32530
강남구 개포2동,41706
강남구 개포3동,16815
강남구 개포4동,23182
강남구 세곡동,45476
강남구 일원본동,22747
강남구 일원1동,14572
강남구 수서동,13999
강동구 강일동,34389
강동구 상일제1동,39330
강동구 명일1동,25226
강동구 명일2동,17036
강동구 고덕1동,23945
강동구 고덕2동,22866
강동구 암사1동,33745
강동구 암사2동,14810
강동구 암사3동,17191
강동구 천호1동,25952
강동구 천호2동,32747
강동구 천호3동,26114
강동구 성내1동,19375
강동구 성내2동,23538
강동구 성내3동,22410
강동구 길동,44649
강동구 둔촌2동,24297
강북구 삼양동,22398
강북구 미아동,20776
강북구 송중동,28548
강북구 송천동,24728
강북구 삼각산동,30574
강북구 번1동,17123
강북구 번2동,14857
강북구 번3동,16323
강북구 수유1동,19831
강북구 수유2동,20474
강북구 수유3동,23000
강북구 우이동,19823
강북구 인수동,29035
강서구 염창동,41328
강서구 등촌1동,24956
강서구 등촌2동,19333
강서구 등촌3동,29363
강서구 화곡1동,50716
강서구 화곡2동,17023
강서구 화곡3동,21140
강서구 화곡4동,19662
강서구 화곡본동,32916
강서구 화곡6동,26035
강서구 화곡8동,23433
강서구 가양1동,33809
강서구 가양2동,13472
강서구 가양3동,14049
강서구 발산1동,35633
강서구 우장산동,43729
강서구 공항동,29404
강서구 방화1동,41910
강서구 방화2동,22674
강서구 방화3동,21965
관악구 보라매동,23777
관악구 청림동,14700
관악구 성현동,28237
관악구 행운동,28873
관악구 낙성대동,17295
관악구 청룡동,35822
관악구 은천동,32347
관악구 중앙동,15222
관악구 인헌동,25429
관악구 남현동,17729
관악구 서원동,22991
관악구 신원동,17529
관악구 서림동,23362
관악구 신사동,22255
관악구 신림동,22862
관악구 난향동,14706
관악구 조원동,19685
관악구 대학동,24313
관악구 삼성동,19969
관악구 미성동,29497
관악구 난곡동,25282
광진구 화양동,23134
광진구 군자동,19040
광진구 중곡1동,15222
광진구 중곡2동,20484
광진구 중곡3동,15683
광진구 중곡4동,27554
광진구 능동,11081
광진구 광장동,33965
광진구 자양1동,21880
광진구 자양2동,23613
광진구 자양3동,27181
광진구 자양4동,19898
광진구 구의1동,23097
광진구 구의2동,25637
광진구 구의3동,27866
구로구 신도림동,36057
구로구 구로1동,20539
구로구 구로2동,22413
구로구 구로3동,23274
구로구 구로4동,18657
구로구 구로5동,29152
구로구 가리봉동,8751
구로구 고척1동,26441
구로구 고척2동,25790
구로구 개봉1동,33131
구로구 개봉2동,29694
구로구 개봉3동,19515
구로구 오류1동,22690
구로구 오류2동,37194
구로구 수궁동,22683
구로구 항동,16330
금천구 가산동,24828
금천구 독산1동,46463
금천구 독산2동,17796
금천구 독산3동,23555
금천구 독산4동,14490
금천구 시흥1동,32091
금천구 시흥2동,20507
금천구 시흥3동,10248
금천구 시흥4동,19314
금천구 시흥5동,18165
노원구 상계1동,36790
노원구 상계2동,19122
노원구 상계3.4동,27473
노원구 상계5동,22979
노원구 상계6.7동,31377
노원구 상계8동,21817
노원구 상계9동,19645
노원구 상계10동,18170
노원구 중계본동,23039
노원구 중계1동,26290
노원구 중계2.3동,32421
노원구 중계4동,19130
노원구 하계1동,25902
노원구 하계2동,21293
노원구 월계1동,20454
노원구 월계2동,25453
노원구 월계3동,28633
노원구 공릉1동,35913
노원구 공릉2동,41336
도봉구 도봉1동,19986
도봉구 도봉2동,20624
도봉구 방학1동,27701
도봉구 방학2동,18524
도봉구 방학3동,26054
도봉구 쌍문1동,20616
도봉구 쌍문2동,17855
도봉구 쌍문3동,16432
도봉구 쌍문4동,18044
도봉구 창1동,24016
도봉구 창2동,28166
도봉구 창3동,13157
도봉구 창4동,26275
도봉구 창5동,23872
동대문구 용신동,38464
동대문구 제기동,22953
동대문구 청량리동,18700
동대문구 회기동,10340
동대문구 이문1동,17696
동대문구 이문2동,19360
동대문구 휘경1동,13689
동대문구 휘경2동,24151
동대문구 전농1동,32306
동대문구 전농2동,17900
동대문구 답십리1동,27828
동대문구 답십리2동,27450
동대문구 장안1동,37434
동대문구 장안2동,32712
동작구 신대방1동,23287
동작구 신대방2동,22050
동작구 대방동,35667
동작구 노량진1동,31972
동작구 노량진2동,10047
동작구 상도1동,44008
동작구 상도2동,27479
동작구 상도3동,23949
동작구 상도4동,27626
동작구 흑석동,30013
동작구 사당1동,22542
동작구 사당2동,28108
동작구 사당3동,23659
동작구 사당4동,13818
동작구 사당5동,14135
마포구 상암동,29657
마포구 망원1동,19167
마포구 망원2동,17860
마포구 성산1동,18557
마포구 성산2동,38718
마포구 연남동,14189
마포구 합정동,16297
마포구 서교동,24030
마포구 서강동,24564
마포구 신수동,22109
마포구 대흥동,14370
마포구 용강동,21214
마포구 염리동,16851
마포구 도화동,20650
마포구 아현동,28939
마포구 공덕동,36507
서대문구 충현동,19692
서대문구 천연동,16543
서대문구 북아현동,15463
서대문구 신촌동,20176
서대문구 연희동,33908
서대문구 홍제1동,24674
서대문구 홍제2동,13186
서대문구 홍제3동,17676
