자치구,행정동코드,행정동,법정동코드,법정동,행정동명
강남구,11680660,개포1동,11680103,개포동,강남구 개포1동
강남구,11680670,개포2동,11680103,개포동,강남구 개포2동
강남구,11680670,개포2동,11680114,일원동,강남구 개포2동
강남구,11680690,개포4동,11680103,개포동,강남구 개포4동
강남구,11680521,논현1동,11680108,논현동,강남구 논현1동
강남구,11680531,논현2동,11680108,논현동,강남구 논현2동
강남구,11680600,대치1동,11680106,대치동,강남구 대치1동
강남구,11680610,대치2동,11680106,대치동,강남구 대치2동
강남구,11680630,대치4동,11680106,대치동,강남구 대치4동
강남구,11680655,도곡1동,11680118,도곡동,강남구 도곡1동
강남구,11680656,도곡2동,11680118,도곡동,강남구 도곡2동
강남구,11680580,삼성1동,11680105,삼성동,강남구 삼성1동
강남구,11680590,삼성2동,11680105,삼성동,강남구 삼성2동
강남구,11680700,세곡동,11680111,세곡동,강남구 세곡동
강남구,11680700,세곡동,11680112,자곡동,강남구 세곡동
강남구,11680700,세곡동,11680113,율현동,강남구 세곡동
강남구,11680750,수서동,11680115,수서동,강남구 수서동
강남구,11680510,신사동,11680107,신사동,강남구 신사동
강남구,11680510,신사동,11680110,압구정동,강남구 신사동
강남구,11680545,압구정동,11680107,신사동,강남구 압구정동
강남구,11680545,압구정동,11680110,압구정동,강남구 압구정동
강남구,11680640,역삼1동,11680101,역삼동,강남구 역삼1동
강남구,11680650,역삼2동,11680101,역삼동,강남구 역삼2동
강남구,11680730,일원1동,11680114,일원동,강남구 일원1동
강남구,11680730,일원1동,11680115,수서동,강남구 일원1동
강남구,11680740,일원2동,11680103,개포동,강남구 일원2동
강남구,11680740,일원2동,11680106,대치동,강남구 일원2동
강남구,11680740,일원2동,11680114,일원동,강남구 일원2동
강남구,11680720,일원본동,11680114,일원동,강남구 일원본동
강남구,11680720,일원본동,11680115,수서동,강남구 일원본동
강남구,11680565,청담동,11680104,청담동,강남구 청담동
강동구,11740515,강일동,11740103,상일동,강동구 강일동
강동구,11740515,강일동,11740110,강일동,강동구 강일동
강동구,11740550,고덕제1동,11740102,고덕동,강동구 고덕제1동
강동구,11740560,고덕제2동,11740102,고덕동,강동구 고덕제2동
강동구,11740685,길동,11740105,길동,강동구 길동
강동구,11740690,둔촌제1동,11740106,둔촌동,강동구 둔촌제1동
강동구,11740700,둔촌제2동,11740106,둔촌동,강동구 둔촌제2동
강동구,11740530,명일제1동,11740101,명일동,강동구 명일제1동
강동구,11740540,명일제2동,11740101,명일동,강동구 명일제2동
강동구,11740520,상일동,11740103,상일동,강동구 상일동
강동구,11740640,성내제1동,11740108,성내동,강동구 성내제1동
강동구,11740650,성내제2동,11740108,성내동,강동구 성내제2동
강동구,11740660,성내제3동,11740108,성내동,강동구 성내제3동
강동구,11740570,암사제1동,11740107,암사동,강동구 암사제1동
강동구,11740580,암사제2동,11740107,암사동,강동구 암사제2동
강동구,11740590,암사제3동,11740107,암사동,강동구 암사제3동
강동구,11740600,천호제1동,11740109,천호동,강동구 천호제1동
강동구,11740610,천호제2동,11740109,천호동,강동구 천호제2동
강동구,11740620,천호제3동,11740109,천호동,강동구 천호제3동
강북구,11305535,미아동,11305101,미아동,강북구 미아동
강북구,11305590,번제1동,11305102,번동,강북구 번제1동
강북구,11305600,번제2동,11305102,번동,강북구 번제2동
강북구,11305606,번제3동,11305102,번동,강북구 번제3동
강북구,11305575,삼각산동,11305101,미아동,강북구 삼각산동
강북구,11305534,삼양동,11305101,미아동,강북구 삼양동
강북구,11305545,송중동,11305101,미아동,강북구 송중동
강북구,11305555,송천동,11305101,미아동,강북구 송천동
강북구,11305610,수유제1동,11305103,수유동,강북구 수유제1동
강북구,11305620,수유제2동,11305103,수유동,강북구 수유제2동
강북구,11305630,수유제3동,11305103,수유동,강북구 수유제3동
강북구,11305645,우이동,11305103,수유동,강북구 우이동
강북구,11305645,우이동,11305104,우이동,강북구 우이동
강북구,11305660,인수동,11305103,수유동,강북구 인수동
강서구,11500603,가양제1동,11500104,가양동,강서구 가양제1동
강서구,11500603,가양제1동,11500105,마곡동,강서구 가양제1동
강서구,11500604,가양제2동,11500104,가양동,강서구 가양제2동
강서구,11500605,가양제3동,11500101,염창동,강서구 가양제3동
강서구,11500605,가양제3동,11500104,가양동,강서구 가양제3동
강서구,11500620,공항동,11500108,공항동,강서구 공항동
강서구,11500620,공항동,11500111,과해동,강서구 공항동
강서구,11500620,공항동,11500112,오곡동,강서구 공항동
강서구,11500620,공항동,11500113,오쇠동,강서구 공항동
강서구,11500520,등촌제1동,11500102,등촌동,강서구 등촌제1동
강서구,11500530,등촌제2동,11500102,등촌동,강서구 등촌제2동
강서구,11500535,등촌제3동,11500102,등촌동,강서구 등촌제3동
강서구,11500611,발산제1동,11500106,내발산동,강서구 발산제1동
강서구,11500611,발산제1동,11500107,외발산동,강서구 발산제1동
강서구,11500630,방화제1동,11500109,방화동,강서구 방화제1동
강서구,11500640,방화제2동,11500109,방화동,강서구 방화제2동
강서구,11500640,방화제2동,11500110,개화동,강서구 방화제2동
강서구,11500641,방화제3동,11500109,방화동,강서구 방화제3동
강서구,11500510,염창동,11500101,염창동,강서구 염창동
강서구,11500615,우장산동,11500103,화곡동,강서구 우장산동
강서구,11500615,우장산동,11500106,내발산동,강서구 우장산동
강서구,11500590,화곡본동,11500103,화곡동,강서구 화곡본동
강서구,11500540,화곡제1동,11500103,화곡동,강서구 화곡제1동
강서구,11500550,화곡제2동,11500103,화곡동,강서구 화곡제2동
강서구,11500560,화곡제3동,11500103,화곡동,강서구 화곡제3동
강서구,11500570,화곡제4동,11500103,화곡동,강서구 화곡제4동
강서구,11500591,화곡제6동,11500103,화곡동,강서구 화곡제6동
강서구,11500593,화곡제8동,11500103,화곡동,강서구 화곡제8동
관악구,11620585,낙성대동,11620101,봉천동,관악구 낙성대동
관악구,11620775,난곡동,11620102,신림동,관악구 난곡동
관악구,11620715,난향동,11620102,신림동,관악구 난향동
관악구,11620630,남현동,11620103,남현동,관악구 남현동
관악구,11620735,대학동,11620102,신림동,관악구 대학동
관악구,11620765,미성동,11620102,신림동,관악구 미성동
관악구,11620525,보라매동,11620101,봉천동,관악구 보라매동
관악구,11620745,삼성동,11620102,신림동,관악구 삼성동
관악구,11620665,서림동,11620102,신림동,관악구 서림동
